Fecha,Gasolina regular,Gasolina superior
2025-01-01 00:00:00,788005.35,645188.6
2025-02-01 00:00:00,857375.76,686641.5
2025-03-01 00:00:00,800182.17,796513.62
2025-04-01 00:00:00,898147.98,643476.9
2025-05-01 00:00:00,785675.37,747443.53
